model,modeli,count,year,type,stype,size,emp,make
Panasonic+DMC-FZ20,Panasonic+DMC-FZ20,1,2004,c,ccd,24.745152,5,PANASONIC
DMC-FZ20,Panasonic+DMC-FZ20,1,2004,c,ccd,24.745152,5,PANASONIC
Panasonic+DMC-FZ30,Panasonic+DMC-FZ30,1,2005,c,ccd,38.277552,8,PANASONIC
DMC-FZ30,Panasonic+DMC-FZ30,2,2005,c,ccd,38.277552,8,PANASONIC
Panasonic+DMC-FX07,Panasonic+DMC-FX07,1,2006,c,ccd,24.745152,7,PANASONIC
Panasonic+DMC-LZ5,Panasonic+DMC-LZ5,3,2006,c,ccd,24.745152,6,PANASONIC
Panasonic+DMC-FZ7,Panasonic+DMC-FZ7,7,2006,c,ccd,24.745152,6,PANASONIC
Panasonic+DMC-FZ50,Panasonic+DMC-FZ50,5,2006,c,ccd,38.277552,10,PANASONIC
Panasonic+DMC-FZ8,Panasonic+DMC-FZ8,5,2007,c,ccd,24.745152,7,PANASONIC
Panasonic+DMC-FZ18,Panasonic+DMC-FZ18,6,2007,c,ccd,24.745152,8,PANASONIC
Panasonic+DMC-TZ5,Panasonic+DMC-TZ5,1,2008,c,ccd,27.7248,9,PANASONIC
Panasonic+DMC-FZ28,Panasonic+DMC-FZ28,2,2008,c,ccd,27.7248,10,PANASONIC
Panasonic+DMC-LX3,Panasonic+DMC-LX3,3,2008,c,ccd,44.8692,10,PANASONIC
Panasonic+DMC-FS7,Panasonic+DMC-FS7,1,2009,c,ccd,24.745152,10,PANASONIC
Panasonic+DMC-GF1,Panasonic+DMC-GF1,21,2009,mrls,cmos,224.9,12,PANASONIC
Panasonic+DMC-FZ40,Panasonic+DMC-FZ40,2,2010,b,ccd,27.7248,14,PANASONIC
Panasonic+DMC-FZ45,Panasonic+DMC-FZ40,4,2010,b,ccd,27.7248,14,PANASONIC
Panasonic+DMC-GH2,Panasonic+DMC-GH2,1,2010,mrls,cmos,224.9,16,PANASONIC
Panasonic+DMC-G2,Panasonic+DMC-G10,2,2010,mrls,cmos,224.9,12,PANASONIC
Panasonic+DMC-G10,Panasonic+DMC-G10,5,2010,mrls,cmos,224.9,12,PANASONIC
Panasonic+DMC-FZ150,Panasonic+DMC-FZ150,4,2011,b,cmos,28.0735,12,PANASONIC
Panasonic+DMC-G3,Panasonic+DMC-G3,2,2011,mrls,cmos,224.9,16,PANASONIC
Panasonic+DMC-G5,Panasonic+DMC-G5,1,2012,mrls,cmos,224.9,16,PANASONIC
PENTAX+Corporation+PENTAX+Optio+33LF,PENTAX+Corporation+PENTAX+Optio+33LF,1,2003,c,ccd,21.163008,3,PENTAX
PENTAX+Corporation+PENTAX+Optio+S5n,PENTAX+Corporation+PENTAX+Optio+S5n,1,2005,c,ccd,24.745152,5,PENTAX
PENTAX+Corporation+PENTAX+*ist+DL,PENTAX+Corporation+PENTAX+*ist+DL,1,2005,dslr,ccd,368.95,6,PENTAX
PENTAX+Corporation+PENTAX+K100D,PENTAX+Corporation+PENTAX+K100D,1,2006,dslr,ccd,368.95,6,PENTAX
PENTAX+Corporation+PENTAX+K10D,PENTAX+Corporation+PENTAX+K10D,3,2006,dslr,ccd,368.95,10,PENTAX
PENTAX+Corporation+PENTAX+K100D+Super,PENTAX+Corporation+PENTAX+K100D+Super,1,2007,dslr,ccd,368.95,6,PENTAX
PENTAX+K200D,PENTAX+K200D,2,2008,dslr,ccd,368.95,10,PENTAX
PENTAX+K-7,PENTAX+K-7,2,2009,dslr,cmos,365.04,15,PENTAX
PENTAX+K-x,PENTAX+K-x,17,2009,dslr,cmos,372.88,12,PENTAX
PENTAX+K-5,PENTAX+K-5,9,2010,dslr,cmos,372.09,16,PENTAX
PENTAX+K-01,PENTAX+K-01,1,2012,mrls,cmos,372.09,16,PENTAX
PENTAX+K-30,PENTAX+K-30,1,2012,dslr,cmos,372.09,16,PENTAX
RICOH+IMAGING+COMPANY%2C+LTD.+PENTAX+K-3,RICOH+IMAGING+COMPANY%2C+LTD.+PENTAX+K-3,1,2013,dslr,cmos,366.6,24,PENTAX
Philips+SPC900NC,Philips+SPC900NC,1,2003,webcam,,,,PHILIPS
RICOH+Caplio+GX100,RICOH+Caplio+GX100,1,2007,c,ccd,40.6272,10,RICOH
RaspberryPi+RP_OV5647,RaspberryPi+RP_OV5647,1,2014,webcam,ccd,,5,RPI
Samsung+Techwin+Digimax+V50%2Fa5,Samsung+Techwin+Digimax+V50%2Fa5,13,2004,c,ccd,38.277552,5,SAMSUNG
Samsung+Techwin+%3C+Digimax+U-CA+5%2C+Kenox+U-CA+5+%2F+Kenox+U-CA+50+%3E,Samsung+Techwin+%3C+Digimax+U-CA+5%2C+Kenox+U-CA+5+%2F+Kenox+U-CA+50+%3E,1,2005,c,ccd,30.72,5,SAMSUNG
Samsung+Techwin+%3CVLUU+L730++%2F+Samsung+L730%3E,Samsung+Techwin+%3CVLUU+L730++%2F+Samsung+L730%3E,1,2007,c,ccd,24.745152,7,SAMSUNG
Samsung+Electronics+S7220,Samsung+Electronics+S7220,2,2009,phone,cmos,,5,SAMSUNG
SBIG+STL-4020M,SBIG+ST-L-4K+3+CCD+Camera,2,2003,astro,ccd,225,4,SBIG
SBIG+ST-L-4K+3+CCD+Camera,SBIG+ST-L-4K+3+CCD+Camera,12,2003,astro,ccd,225,4,SBIG
SBIG+ST-L-11K+3+CCD+Camera+w%2F+AO,SBIG+ST-L-11K+3+CCD+Camera,1,2003,astro,ccd,889.2,11,SBIG
SBIG+ST-L-11K+3+CCD+Camera,SBIG+ST-L-11K+3+CCD+Camera,1,2003,astro,ccd,889.2,11,SBIG
SIGMA+SD9,SIGMA+SD9,2,2002,dslr,cmos,285.66,3,SIGMA
SONY+DSC-W15,SONY+DSC-W15,1,2002,c,ccd,38.1976,5,SONY
SONY+DSC-P100,SONY+DSC-P100,1,2004,c,ccd,38.277552,5,SONY
SONY+DSC-T7,SONY+DSC-T7,1,2005,c,ccd,27.944112,5,SONY
SONY+DSC-H1,SONY+DSC-H1,6,2005,c,ccd,27.944112,5,SONY
SONY+DSC-P200,SONY+DSC-P200,1,2005,c,ccd,38.277552,7,SONY
SONY+DSC-W40,SONY+DSC-W40,6,2006,c,ccd,24.7104,6,SONY
SONY+DSC-H2,SONY+DSC-H2,1,2006,c,ccd,24.745152,6,SONY
SONY+DSC-H5,SONY+DSC-H5,6,2006,c,ccd,24.745152,7,SONY
SONY+DSLR-A100,SONY+DSLR-A100,4,2006,dslr,ccd,372.88,10,SONY
SONY+DSC-W80,SONY+DSC-W80,1,2007,c,ccd,24.745152,7,SONY
SONY+DSLR-A700,SONY+DSLR-A700,1,2007,dslr,cmos,366.6,12,SONY
SONY+DSC-W110,SONY+DSC-W110,2,2008,c,ccd,24.745152,7,SONY
SONY+DSLR-A350,SONY+DSLR-A350,1,2008,dslr,ccd,372.88,14,SONY
SONY+DSLR-A200,SONY+DSLR-A200,7,2008,dslr,ccd,372.88,10,SONY
SONY+DSC-T90,SONY+DSC-T90,1,2009,c,ccd,28.0735,12,SONY
SONY+DSC-W230,SONY+DSC-W230,3,2009,c,ccd,28.0735,12,SONY
SONY+DSLR-A550,SONY+DSLR-A550,33,2009,dslr,cmos,365.04,14,SONY
SONY+DSLR-A500,SONY+DSLR-A500,2,2009,dslr,cmos,366.6,12,SONY
SONY+DSLR-A230,SONY+DSLR-A230,1,2009,dslr,ccd,368.95,10,SONY
SONY+SLT-A33,SONY+SLT-A33,9,2010,dslr,cmos,366.6,14,SONY
SONY+SLT-A55V,SONY+SLT-A55V,53,2010,dslr,cmos,366.6,16,SONY
DSLR-A390,SONY+DSLR-A390,15,2010,dslr,ccd,368.95,14,SONY
SONY+DSLR-A390,SONY+DSLR-A390,37,2010,dslr,ccd,368.95,14,SONY
SONY+DSC-HX100V,SONY+DSC-HX100V,6,2011,b,bsi-cmos,28.0735,16,SONY
SONY+NEX-5N,SONY+NEX-5N,16,2011,dslr,cmos,365.04,16,SONY
SONY+NEX-7,SONY+NEX-7,2,2011,mrls,cmos,366.6,24,SONY
SONY+SLT-A77V,SONY+SLT-A77V,20,2011,dslr,cmos,366.6,24,SONY
SONY+SLT-A65V,SONY+SLT-A65V,94,2011,dslr,cmos,372.88,24,SONY
SONY+DSC-RX100,SONY+DSC-RX100,3,2012,c,cmos,116.16,20,SONY
SONY+SLT-A57,SONY+SLT-A57,6,2012,dslr,cmos,366.6,16,SONY
SONY+DSC-RX1,SONY+DSC-RX1,1,2012,c,cmos,852.04,24,SONY
SONY+SLT-A99V,SONY+SLT-A99V,75,2012,dslr,cmos,852.04,24,SONY
SONY+DSC-W710,SONY+DSC-W710,1,2013,c,ccd,28.0735,16,SONY
SONY+DSC-RX100M2,SONY+DSC-RX100M2,1,2013,c,bsi-cmos,116.16,20,SONY
SONY+CYBERSHOT,SONY+CYBERSHOT,1,,c,ccd,,,SONY
SONY+HANDYCAM,SONY+HANDYCAM,1,,v,,,,SONY
w48fHQ%3D%3D,w48fHQ%3D%3D,1,,,,,,
