modeli,year,type,stype,size,emp,make,count
Canon+PowerShot+ELPH+300+HS,2011.0,c,bsi-cmos,28.0735,12.0,CANON,2
Canon+PowerShot+SX40+HS,2011.0,b,bsi-cmos,28.0735,12.0,CANON,5
Canon+PowerShot+S100,2011.0,c,cmos,41.5152,12.0,CANON,46
Canon+EOS+1100D,2011.0,dslr,cmos,328.56,12.0,CANON,17
Canon+EOS+600D,2011.0,dslr,cmos,332.27,18.0,CANON,26
Canon+MP640+series,2011.0,printer,,,,CANON,1
Canon+EOS+650D,2012.0,dslr,cmos,332.27,18.0,CANON,7
Canon+EOS+5D+Mark+III,2012.0,dslr,cmos,864.0,22.0,CANON,47
Canon+EOS+6D,2012.0,dslr,cmos,864.0,20.0,CANON,85
Canon+EOS+700D,2013.0,dslr,cmos,332.27,18.0,CANON,8
Canon+Eos,,,,,,CANON,1
CASIO+COMPUTER+CO.%2CLTD.+EX-F1,2008.0,c,cmos,38.277552,6.0,CASIO,2
Sony+Ericsson+LT18i,2011.0,phone,cmos,9.72,8.0,ERICSSON,3
FUJIFILM+MX-2900ZOOM,1999.0,c,ccd,30.72,2.0,FUJIFILM,1
FUJIFILM+FinePix4900ZOOM,2000.0,c,ccd,41.5152,2.0,FUJIFILM,1
FUJIFILM+FinePix6900ZOOM,2001.0,c,ccd,41.5152,3.0,FUJIFILM,1
FUJIFILM+FinePix+S602+ZOOM,2002.0,c,ccd,41.5152,3.0,FUJIFILM,7
FUJIFILM+FinePixS2Pro,2002.0,dslr,ccd,356.5,6.0,FUJIFILM,1
FUJIFILM+FinePix+A210,2003.0,c,ccd,21.163008,3.0,FUJIFILM,1
FUJIFILM+FinePix+S5600,2005.0,c,ccd,24.745152,5.0,FUJIFILM,1
FUJIFILM+FinePix+S9500,2005.0,c,ccd,48.0,9.0,FUJIFILM,1
FUJIFILM+FinePix+F30,2006.0,c,ccd,41.5152,6.0,FUJIFILM,1
FUJIFILM+FinePix+S9600,2006.0,c,ccd,48.0,9.0,FUJIFILM,1
FUJIFILM+FinePix+S5700+S700,2007.0,c,ccd,24.745152,7.0,FUJIFILM,34
FUJIFILM+FinePix+S5800+S800,2007.0,c,ccd,25.0,8.0,FUJIFILM,16
FUJIFILM+FinePix+S1000fd,2008.0,c,ccd,28.0735,10.0,FUJIFILM,1
FUJIFILM+FinePix+S4000,2011.0,b,ccd,28.0735,14.0,FUJIFILM,1
FUJIFILM+X-E1,2012.0,mrls,cmos,368.16,16.0,FUJIFILM,1
FUJI+PHOTO+FILM+CO.%2C+LTD.+SP-2000,,scan,,,,FUJIFILM,1
GENERAL+IMAGING+CO.+X5,2011.0,b,ccd,28.4592,14.0,GE,2
Hewlett-Packard+Company+hp+PhotoSmart+620,2002.0,c,ccd,17.28,2.0,HP,2
Hewlett-Packard+HP+PhotoSmart+C850+%28V05.32%29,2002.0,c,ccd,38.16,4.0,HP,3
HP+ScanJet+3670,2003.0,scan,,,,HP,1
HTC+Desire,2010.0,phone,cmos,,5.0,HTC,2
HTC+ADR6300,2010.0,phone,cmos,,8.0,HTC,2
HTC+PC36100,2010.0,phone,,,8.0,HTC,1
EASTMAN+KODAK+COMPANY+KODAK+DX6340+ZOOM+DIGITAL+CAMERA,2003.0,c,ccd,21.163008,3.0,KODAK,1
EASTMAN+KODAK+COMPANY+KODAK+DX4530+ZOOM+DIGITAL+CAMERA,2003.0,c,ccd,,5.0,KODAK,1
EASTMAN+KODAK+COMPANY+KODAK+CX7525+ZOOM+DIGITAL+CAMERA,2004.0,c,ccd,24.7104,5.0,KODAK,3
EASTMAN+KODAK+COMPANY+KODAK+DX7590+ZOOM+DIGITAL+CAMERA,2004.0,c,ccd,24.745152,5.0,KODAK,8
EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+Z710+ZOOM+DIGITAL+CAMERA,2006.0,c,ccd,24.745152,7.0,KODAK,1
EASTMAN+KODAK+COMPANY+KODAK+C875+ZOOM+DIGITAL+CAMERA,2006.0,c,ccd,38.277552,8.0,KODAK,6
EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+M1063+DIGITAL+CAMERA,2008.0,c,ccd,27.7248,10.0,KODAK,1
EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+Z915+DIGITAL+CAMERA,2009.0,c,ccd,28.0735,10.0,KODAK,1
EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+C182+Digital+Camera,2009.0,c,ccd,28.52,12.0,KODAK,11
EASTMAN+KODAK+COMPANY+KODAK+EASYSHARE+Camera%2C+M522,2011.0,c,ccd,28.4592,14.0,KODAK,1
Leica+Camera+AG+M9+Digital+Camera,2002.0,c,ccd,38.277552,5.0,LEICA,1
LEICA+D-LUX+6,2012.0,c,cmos,41.5152,10.0,LEICA,3
Leica+Camera+AG+LEICA+M+%28Typ+240%29,2012.0,mrls,cmos,864.0,24.0,LEICA,1
Lomo+Lubitel+166B,1980.0,lomo,,,,LUBITEL,8
Minolta+Co.%2C+Ltd.+DiMAGE+Z1,2003.0,c,ccd,21.163008,3.0,MINOLTA,1
Minolta+Co.%2C+Ltd.+DiMAGE+G500,2003.0,c,ccd,38.277552,5.0,MINOLTA,3
KONICA+MINOLTA+DiMAGE+Z10,2004.0,c,ccd,24.745152,3.0,MINOLTA,1
KONICA+MINOLTA+DiMAGE+Z3,2004.0,c,ccd,24.745152,4.0,MINOLTA,2
KONICA+MINOLTA+MAXXUM+7D,2004.0,dslr,ccd,368.95,6.0,MINOLTA,8
motorola+DROID3,2011.0,phone,,,8.0,MOTOROLA,1
NIKON+E990,2000.0,c,ccd,38.277552,3.0,NIKON,3
NIKON+E995,2001.0,c,ccd,38.16,3.0,NIKON,12
NIKON+E4500,2002.0,c,ccd,38.277552,4.0,NIKON,6
NIKON+E5700,2002.0,c,ccd,58.08,5.0,NIKON,2
NIKON+D100,2002.0,dslr,ccd,367.35,6.0,NIKON,1
NIKON+E2100,2003.0,c,ccd,15.485952,2.0,NIKON,2
NIKON+E8800,2004.0,c,ccd,58.08,8.0,NIKON,1
NIKON+CORPORATION+NIKON+D70,2004.0,dslr,ccd,367.35,6.0,NIKON,16
NIKON+CORPORATION+NIKON+D2X,2004.0,dslr,cmos,372.09,12.0,NIKON,1
NIKON+COOLPIX+P2,2005.0,c,ccd,38.277552,5.0,NIKON,1
NIKON+E7900,2005.0,c,ccd,38.277552,7.0,NIKON,1
NIKON+COOLPIX+P1,2005.0,c,ccd,38.277552,8.0,NIKON,1
NIKON+CORPORATION+NIKON+D70s,2005.0,dslr,ccd,367.35,6.0,NIKON,24
NIKON+CORPORATION+NIKON+D50,2005.0,dslr,ccd,367.35,6.0,NIKON,26
NIKON+CORPORATION+NIKON+D200,2005.0,dslr,ccd,372.88,10.0,NIKON,21
NIKON+CORPORATION+NIKON+D40,2006.0,dslr,ccd,367.35,6.0,NIKON,80
NIKON+CORPORATION+NIKON+D80,2006.0,dslr,ccd,372.88,10.0,NIKON,22
NIKON+COOLPIX+P5000,2007.0,c,ccd,38.16,10.0,NIKON,217
NIKON+CORPORATION+NIKON+D40X,2007.0,dslr,ccd,369.72,10.0,NIKON,1
NIKON+CORPORATION+NIKON+D300,2007.0,dslr,cmos,372.88,12.0,NIKON,124
NIKON+COOLPIX+L18,2008.0,c,ccd,24.745152,8.0,NIKON,1
NIKON+CORPORATION+NIKON+D60,2008.0,dslr,ccd,372.88,10.0,NIKON,28
NIKON+CORPORATION+NIKON+D90,2008.0,dslr,cmos,372.88,12.0,NIKON,99
NIKON+CORPORATION+NIKON+D3,2008.0,dslr,cmos,860.4,12.0,NIKON,1
NIKON+CORPORATION+NIKON+D3X,2008.0,dslr,cmos,861.6,25.0,NIKON,1
NIKON+CORPORATION+NIKON+D700,2008.0,dslr,cmos,864.0,12.0,NIKON,112
NIKON+CORPORATION+NIKON+D3000,2009.0,dslr,ccd,372.88,10.0,NIKON,15
