x,y,radius,size,year,make,type
5.75905476068,-1.68323743528,6,864.0,2012.0,CANON,dslr
5.96705803104,-0.62786818217,6,864.0,2008.0,CANON,dslr
5.98327514658,0.44768127093,6,864.0,2008.0,CANON,dslr
5.44444690504,2.52150706884,6,864.0,2008.0,CANON,dslr
0.359524914435,5.98921880014,6,864.0,2008.0,CANON,dslr
4.21128694111,4.27376441789,6,864.0,2008.0,NIKON,dslr
3.38049972388,4.95703758477,6,864.0,2012.0,CANON,dslr
2.44106046404,5.48098748502,6,864.0,2008.0,NIKON,dslr
1.42316351237,5.82877393772,6,864.0,2012.0,CANON,dslr
3.22951271779,-5.05670323488,6,864.0,2012.0,CANON,dslr
-0.715669110071,5.95716524237,6,864.0,2012.0,CANON,dslr
-1.76786094052,5.73364349214,6,864.0,2012.0,CANON,dslr
4.906719931,3.45312894615,6,864.0,2008.0,NIKON,dslr
2.27470389225,-5.55209169616,6,864.0,2012.0,CANON,dslr
4.80038063116,-3.59949243588,6,864.0,2012.0,CANON,dslr
0.178791861288,-5.99733553091,6,864.0,2008.0,NIKON,dslr
1.24678421199,-5.86903136205,6,864.0,2008.0,CANON,dslr
-2.76323226575,5.32583772242,6,864.0,2008.0,NIKON,dslr
-3.66979103236,4.74685514618,6,864.0,2008.0,NIKON,dslr
-4.45839969567,4.01530473982,6,864.0,2012.0,CANON,dslr
-5.58498625893,2.19269890492,6,864.0,2008.0,CANON,dslr
-5.88675473976,1.16022352755,6,864.0,2008.0,CANON,dslr
-5.99931807963,0.0904576113692,6,864.0,2008.0,NIKON,dslr
-5.10371172438,3.15469913532,6,864.0,2012.0,CANON,dslr
-5.64855531349,-2.02331976476,6,864.0,2008.0,NIKON,dslr
-5.1965030114,-2.99939268062,6,864.0,2012.0,CANON,dslr
-4.57743082682,-3.87906264781,6,864.0,2008.0,CANON,dslr
-3.81123624915,-4.6340563498,6,864.0,2012.0,CANON,dslr
-2.92254540254,-5.2401076678,6,864.0,2008.0,CANON,dslr
-1.93992154201,-5.67773761377,6,864.0,2012.0,CANON,dslr
-5.91905840016,-0.982215686867,6,864.0,2008.0,CANON,dslr
-0.894947006944,-5.93288040118,6,864.0,2008.0,NIKON,dslr
6.90268261433,-1.16317355793,7,864.0,2008.0,CANON,dslr
6.23003927783,-3.19164700377,7,864.0,2012.0,CANON,dslr
5.66982322706,-4.10525328986,7,864.0,2012.0,CANON,dslr
3.25951796597,-6.19479964402,7,864.0,2012.0,CANON,dslr
4.16694952827,-5.62463613302,7,864.0,2012.0,CANON,dslr
2.27568606519,-6.61976230183,7,864.0,2012.0,CANON,dslr
6.99934371035,-0.0958520964892,7,864.0,2008.0,CANON,dslr
4.97671132537,-4.92263591828,7,864.0,2008.0,CANON,dslr
6.93194612217,0.973716056848,7,864.0,2008.0,NIKON,dslr
1.42671161305,6.853064568,7,864.0,2008.0,CANON,dslr
6.31510223126,3.01984830889,7,864.0,2008.0,CANON,dslr
5.78011422652,3.94845280184,7,864.0,2008.0,CANON,dslr
5.10964524331,4.78450890766,7,864.0,2008.0,NIKON,dslr
4.31941050634,5.50842017985,7,864.0,2012.0,CANON,dslr
3.42793244805,6.10321875174,7,864.0,2008.0,NIKON,dslr
2.45610655857,6.55496304894,7,864.0,2008.0,CANON,dslr
0.363875756547,6.99053606198,7,864.0,2012.0,CANON,dslr
1.23851401183,-6.88956334193,7,864.0,2005.0,CANON,dslr
6.70206959213,2.0204611311,7,864.0,2008.0,CANON,dslr
0.172312239738,-6.99787885663,7,864.0,2008.0,NIKON,dslr
6.64422848827,-2.20323121702,7,864.0,2008.0,CANON,dslr
-1.94712232985,-6.72374260607,7,864.0,2008.0,CANON,dslr
-0.707489039283,6.96415531556,7,864.0,2012.0,CANON,dslr
-1.76227089167,6.7745406711,7,864.0,2005.0,CANON,dslr
-2.77574660799,6.42613653514,7,864.0,2008.0,CANON,dslr
-3.72416117644,5.92710920533,7,864.0,2012.0,CANON,dslr
-4.58528456335,5.28915545934,7,864.0,2008.0,NIKON,dslr
