x,y,distance,size,year,make,type,emp
1.99611199586,4.58427059629,5.0,864.0,2012.0,CANON,dslr,22.0
2.9661614752,4.02515665571,5.0,864.0,2012.0,CANON,dslr,22.0
3.78747523256,3.26420455283,5.0,864.0,2008.0,CANON,dslr,21.0
4.41886916664,2.33957160354,5.0,864.0,2008.0,CANON,dslr,21.0
4.82868254912,1.29762276485,5.0,864.0,2008.0,CANON,dslr,21.0
4.99636562576,0.190605702326,5.0,864.0,2008.0,CANON,dslr,21.0
4.58427059629,-1.99611199586,5.0,864.0,2012.0,CANON,dslr,20.0
4.02515665571,-2.9661614752,5.0,864.0,2012.0,CANON,dslr,20.0
-4.02515665571,2.9661614752,5.0,864.0,2012.0,CANON,dslr,22.0
1.99060750596,5.66016623053,6.0,864.0,2008.0,NIKON,dslr,12.0
-5.466773576,-2.47272858777,6.0,864.0,2008.0,NIKON,dslr,12.0
3.62720368132,-4.77947627405,6.0,864.0,2008.0,CANON,dslr,21.0
-5.9612058871,0.681193343796,6.0,864.0,2008.0,CANON,dslr,21.0
1.71652693437,-5.74922040659,6.0,864.0,2008.0,CANON,dslr,21.0
-5.34173463122,2.732374632,6.0,864.0,2008.0,CANON,dslr,21.0
-0.413058936617,-5.98576497324,6.0,864.0,2008.0,CANON,dslr,21.0
2.71550458367,-5.35033035018,6.0,864.0,2012.0,CANON,dslr,20.0
0.662378697043,-5.96332578866,6.0,864.0,2008.0,NIKON,dslr,12.0
-4.24932947921,-4.23594133306,6.0,864.0,2012.0,CANON,dslr,22.0
-4.93739753728,-3.40912093638,6.0,864.0,2008.0,CANON,dslr,21.0
-5.98703862427,-0.394168125938,6.0,864.0,2012.0,CANON,dslr,22.0
-5.74377508782,1.73466069897,6.0,864.0,2008.0,CANON,dslr,21.0
-2.48996729456,-5.45894338421,6.0,864.0,2008.0,CANON,dslr,21.0
-4.76800642838,3.64226779615,6.0,864.0,2008.0,CANON,dslr,21.0
-4.04103057581,4.43509547647,6.0,864.0,2008.0,CANON,dslr,21.0
-3.18417267556,5.08537553896,6.0,864.0,2012.0,CANON,dslr,20.0
-2.22497284557,5.57220744737,6.0,864.0,2008.0,CANON,dslr,21.0
-1.19426055761,5.87994402359,6.0,864.0,2012.0,CANON,dslr,22.0
-3.42468447532,-4.92661508995,6.0,864.0,2008.0,CANON,dslr,21.0
2.96927933057,5.21376833558,6.0,864.0,2008.0,NIKON,dslr,12.0
3.85251607436,4.59979563642,6.0,864.0,2012.0,CANON,dslr,20.0
4.61192978166,3.83798172078,6.0,864.0,2012.0,CANON,dslr,20.0
5.6664196345,1.97273630416,6.0,864.0,2008.0,CANON,dslr,21.0
5.92760360853,0.929255325604,6.0,864.0,2008.0,NIKON,dslr,12.0
4.42232146819,-4.0550058979,6.0,864.0,2008.0,CANON,dslr,21.0
5.87614612419,-1.21280943561,6.0,864.0,2008.0,CANON,dslr,21.0
-1.47522051619,-5.81581674648,6.0,864.0,2012.0,CANON,dslr,22.0
5.56515855172,-2.24254549435,6.0,864.0,2012.0,CANON,dslr,22.0
0.947955918236,5.92464172563,6.0,864.0,2012.0,CANON,dslr,20.0
-0.125163752684,5.99869436086,6.0,864.0,2012.0,CANON,dslr,20.0
5.22311227107,2.95281191473,6.0,864.0,2008.0,NIKON,dslr,12.0
5.99826952533,-0.144092683711,6.0,864.0,2012.0,CANON,dslr,22.0
-5.82044301391,-1.45686070778,6.0,864.0,2008.0,CANON,dslr,21.0
5.07530220436,-3.20020429573,6.0,864.0,2005.0,CANON,dslr,13.0
-2.69571224923,-6.46011884328,7.0,864.0,2012.0,CANON,dslr,22.0
6.72664907364,-1.93705762434,7.0,864.0,2008.0,NIKON,dslr,12.0
5.16868031855,-4.72067196113,7.0,864.0,2012.0,CANON,dslr,20.0
4.3874983797,-5.45434303726,7.0,864.0,2008.0,CANON,dslr,21.0
1.15284193479,6.90441565039,7.0,864.0,2008.0,CANON,dslr,21.0
-6.99107279769,0.353413550022,7.0,864.0,2008.0,NIKON,dslr,12.0
-6.96308871263,-0.717910565504,7.0,864.0,2012.0,CANON,dslr,20.0
-4.51923325682,-5.34570208396,7.0,864.0,2012.0,CANON,dslr,22.0
-6.10834204439,3.4187947392,7.0,864.0,2012.0,CANON,dslr,20.0
-5.51487829439,4.31116195452,7.0,864.0,2008.0,CANON,dslr,21.0
-4.79215047137,5.10247918759,7.0,864.0,2008.0,CANON,dslr,21.0
-3.95709870294,5.77419863316,7.0,864.0,2012.0,CANON,dslr,20.0
-3.02929589479,6.31057575676,7.0,864.0,2012.0,CANON,dslr,22.0
-2.03048895838,6.69903833322,7.0,864.0,2008.0,CANON,dslr,21.0
-0.984089081747,6.93048112898,7.0,864.0,2012.0,CANON,dslr,20.0
0.0853770088846,6.99947932109,7.0,864.0,2005.0,CANON,dslr,13.0
-6.55863143405,2.44629387284,7.0,864.0,2012.0,CANON,dslr,22.0
-6.85519206174,1.41645395148,7.0,864.0,2012.0,CANON,dslr,22.0
-6.42197525062,-2.78536063742,7.0,864.0,2008.0,CANON,dslr,21.0
-5.28228735498,-4.59319499906,7.0,864.0,2012.0,CANON,dslr,20.0
4.91518242836,4.98407280203,7.0,864.0,2005.0,CANON,dslr,13.0
-3.65025216145,-5.97291044281,7.0,864.0,2012.0,CANON,dslr,20.0
6.61634917411,2.28559042836,7.0,864.0,2008.0,NIKON,dslr,12.0
6.88770210858,1.24882331156,7.0,864.0,2012.0,CANON,dslr,22.0
6.99761314336,0.182784834787,7.0,864.0,2008.0,CANON,dslr,21.0
6.94350605697,-0.887537963591,7.0,864.0,2008.0,NIKON,dslr,12.0
6.35212513728,-2.94117429616,7.0,864.0,2008.0,CANON,dslr,21.0
5.8287127715,-3.87635233529,7.0,864.0,2012.0,CANON,dslr,20.0
3.50347719751,-6.06016893548,7.0,864.0,2012.0,CANON,dslr,20.0
1.51172472095,-6.83481443553,7.0,864.0,2012.0,CANON,dslr,22.0
-0.62093140804,-6.97240591091,7.0,864.0,2012.0,CANON,dslr,20.0
-5.92152911459,-3.7330273164,7.0,864.0,2008.0,CANON,dslr,21.0
2.19328522285,6.64751832876,7.0,864.0,2008.0,CANON,dslr,21.0
-1.67798712666,-6.79590753342,7.0,864.0,2012.0,CANON,dslr,22.0
0.450678416508,-6.98547700339,7.0,864.0,2008.0,CANON,dslr,21.0
3.18231976423,6.23480881168,7.0,864.0,2008.0,CANON,dslr,21.0
4.09676342754,5.67596066043,7.0,864.0,2012.0,CANON,dslr,22.0
5.61839371899,4.17536250144,7.0,864.0,2008.0,CANON,dslr,21.0
