local_path,ISO,aperture,focal,model,date,moon,galaxy
/Users/damoncrockett/Desktop/astrophotography_data/images/2042920_44cb0b53bc.jpg,missing,3.2,9.094,Canon+PowerShot+S400,2004-04-02,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/1437433710_27dd9cc109.jpg,100,4.5,15.7,hp+PhotoSmart+620,2004-04-02,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/43833071_961a69198d.jpg,missing,missing,missing,missing,2004-05-02,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/43833072_bb1f96afd4.jpg,missing,missing,missing,missing,2004-05-02,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/890553_2fd9b2259b.jpg,152,2.6,4.7,E2100,2004-05-06,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/43833073_f8e302810b.jpg,missing,missing,missing,missing,2004-05-07,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/890550_151f1be803.jpg,400,4.7,14.1,E2100,2004-05-21,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/1475132609_005e6cde4b.jpg,100,4.5,15.7,hp+PhotoSmart+620,2004-05-27,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/927544829_e481204b45.jpg,100,6.3,16.2,E4500,2004-06-07,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/927544843_459d91cbbf.jpg,100,5.6,16.2,E4500,2004-06-07,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/927544859_d9f2050ad0.jpg,100,5.6,16.2,E4500,2004-06-07,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/3923856369_396824d5af.jpg,1600,0,0.0,Canon+EOS+DIGITAL+REBEL,2004-06-20,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/361961382_2af649818c.jpg,50,2.8,8.0,DiMAGE+G500,2004-07-07,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/3923857603_8520b7ee37.jpg,1600,5.6,300.0,Canon+EOS+DIGITAL+REBEL,2004-07-19,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/2968873820_b3673438d5.jpg,800,4,28.0,Canon+EOS+DIGITAL+REBEL,2004-08-23,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/24984532_28e8b4e0a1.jpg,100,4.2,71.2,E5700,2004-09-05,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/24990311_d022ab4c1e.jpg,100,2.8,8.9,E5700,2004-09-05,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/8349199_70e1433321.jpg,1600,3.5,18.0,Canon+EOS+300D+DIGITAL,2004-10-05,nope,galaxy
/Users/damoncrockett/Desktop/astrophotography_data/images/731811_5af8db87ac.jpg,missing,3.5,5.8,Canon+PowerShot+S1+IS,2004-10-06,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/5704114353_835d0822d9.jpg,160,2.8,9.7,FinePix+S602+ZOOM,2004-10-08,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/5704115207_e1b1e65920.jpg,160,2.8,9.7,FinePix+S602+ZOOM,2004-10-08,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/5704116085_c836f97eaf.jpg,160,2.8,9.7,FinePix+S602+ZOOM,2004-10-08,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/5104064268_22f927c55a.jpg,100,0,0.0,Canon+EOS+DIGITAL+REBEL,2004-10-20,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/2764288650_68c2fd00e8.jpg,missing,2.8,5.6,KODAK+DX6340+ZOOM+DIGITAL+CAMERA,2004-10-21,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/14842550_efffebe01d.jpg,500,2.8,5.6,C960Z%2CD460Z,2004-10-27,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/2968877096_02c6cfd4fc.jpg,missing,missing,missing,missing,2004-10-28,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/43833331_3f25b07711.jpg,missing,missing,missing,missing,2004-10-31,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/43833334_ba66266d39.jpg,missing,missing,missing,missing,2004-10-31,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/5704232407_0bf3a76e55.jpg,160,2.8,7.8,FinePix+S602+ZOOM,2004-11-01,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/5704233669_4e988edc8a.jpg,160,2.8,46.8,FinePix+S602+ZOOM,2004-11-01,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/2968880798_d426e05ab7.jpg,400,2.2,28.0,Canon+EOS+DIGITAL+REBEL,2004-11-05,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/2968038765_0a8a06ee0b.jpg,missing,missing,missing,missing,2004-12-11,nope,galaxy
/Users/damoncrockett/Desktop/astrophotography_data/images/38285676_2c09e5c0e5.jpg,100,2.7,missing,Digimax+V50%2Fa5,2004-12-11,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/2967796253_bb125cf06f.jpg,missing,missing,missing,missing,2004-12-13,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/2967766118_fc646ee1a5.jpg,missing,missing,missing,missing,2004-12-14,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/3712800687_585b16ea87.jpg,200,5.6,55.0,Canon+EOS+DIGITAL+REBEL,2004-12-19,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/533979299_06c3611e95.jpg,100,3,5.5,FinePix+A210,2004-12-25,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/1293318896_4b930ad77e.jpg,200,5,17.4,PENTAX+Optio+33LF,2004-12-28,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/255154653_ef930b57d0.jpg,50,2.8,8.0,DiMAGE+G500,2005-01-21,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/852929605_c3166fe515.jpg,800,4.5,18.0,NIKON+D70,2005-01-21,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/853789156_de64639da4.jpg,800,4.5,18.0,NIKON+D70,2005-01-21,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/852934219_183e3312c6.jpg,400,4.5,18.0,NIKON+D70,2005-01-21,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/853792646_86b1ef2ca8.jpg,800,4,18.0,NIKON+D70,2005-01-21,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/853794178_7487598951.jpg,800,5,38.0,NIKON+D70,2005-01-22,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/8603023754_dcf1869ce4.jpg,800,5.6,390.0,Canon+EOS+10D,2005-01-27,nope,galaxy
/Users/damoncrockett/Desktop/astrophotography_data/images/4879464_8220fad392.jpg,64,3.2,32.9,C765UZ,2005-02-11,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/2968041945_ae61f62901.jpg,missing,missing,missing,missing,2005-03-05,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/2968044093_3c14078307.jpg,missing,missing,missing,missing,2005-03-05,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/62762966_08cd52592a.jpg,missing,2.8,17.0,NIKON+D100,2005-04-06,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/1681250488_d228a1bdfb.jpg,missing,4.5,17.5,Canon+PowerShot+S30,2005-04-08,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/1314526261_3abbf67e4e.jpg,missing,8,9.812,Canon+PowerShot+A510,2005-04-15,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/38285466_3e24d3bdff.jpg,100,2.7,missing,Digimax+V50%2Fa5,2005-04-21,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/168807505_50515bd102.jpg,missing,missing,17.5,Canon+PowerShot+S50,2005-04-23,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/2967810119_07bbdee11b.jpg,missing,missing,missing,missing,2005-06-14,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/280326221_3f8a8d00d3.jpg,missing,2.6,5.812,Canon+PowerShot+A510,2005-07-02,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/43838987_cb5e857e5c.jpg,missing,missing,missing,missing,2005-07-23,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/5924335298_5e36b3e550.jpg,missing,2.7,5.6,KODAK+CX7525+ZOOM+DIGITAL+CAMERA,2005-09-05,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/5924335388_e4ee1139f8.jpg,missing,2.7,5.6,KODAK+CX7525+ZOOM+DIGITAL+CAMERA,2005-09-08,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/50511860_edfd128700.jpg,800,2.6,8.2,E995,2005-09-24,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/871802420_50ddc147f1.jpg,1600,0,0.0,PENTAX+*ist+DL,2005-09-29,nope,galaxy
/Users/damoncrockett/Desktop/astrophotography_data/images/282860033_adf536556e.jpg,250,2.8,5.6,C960Z%2CD460Z,2005-10-03,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/51790210_f050d9366b.jpg,missing,5.6,16.0,Canon+PowerShot+A510,2005-10-10,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/52290580_2e0897b652.jpg,missing,missing,missing,missing,2005-10-13,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/52288316_be8990d63c.jpg,missing,missing,missing,missing,2005-10-13,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/52288117_f52c097357.jpg,missing,missing,missing,missing,2005-10-13,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/2341756707_8f7ce40dc8.jpg,80,2.8,49.2,DMC-FZ20,2005-10-15,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/91620913_0e069d6083.jpg,missing,3.5,9.406,Canon+PowerShot+A60,2005-10-19,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/3729574120_30a2a816d8.jpg,100,3.5,6.4,DSC-T7,2005-10-21,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/61169274_71683c4e81.jpg,missing,missing,missing,missing,2005-10-30,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/60558089_f54b69de5c.jpg,320,3.8,12.6,CYBERSHOT,2005-11-05,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/61658142_10c00299cc.jpg,missing,missing,missing,missing,2005-11-09,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/65151677_588283b23c.jpg,100,4.9,missing,Digimax+V50%2Fa5,2005-11-13,moon,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/72301316_d061ec9b4b.jpg,200,2.8,10.64,HP+PhotoSmart+C850+%28V05.32%29,2005-12-01,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/70363067_5f259bdf69.jpg,400,4.5,34.0,Canon+EOS+DIGITAL+REBEL,2005-12-03,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/72301317_e5d219649e.jpg,200,3.1,61.0,HP+PhotoSmart+C850+%28V05.32%29,2005-12-10,nope,nope
/Users/damoncrockett/Desktop/astrophotography_data/images/72301318_82a48dff7c.jpg,200,2.8,7.6,HP+PhotoSmart+C850+%28V05.32%29,2005-12-10,nope,nope
