model,count,year,type,stype,size,emp,make
Lomo+Lubitel+166B,8,1980,lomo,,,,LUBITEL
KONICA+MINOLTA+MAXXUM+7D,8,2004,dslr,ccd,368.95,6,MINOLTA
NIKON+E995,8,2001,c,ccd,38.16,3,NIKON
Canon+PowerShot+S5+IS,8,2007,c,ccd,24.745152,8,CANON
Canon+EOS+700D,8,2013,dslr,cmos,332.27,18,CANON
Panasonic+DMC-FZ7,7,2006,c,ccd,24.745152,6,PANASONIC
OLYMPUS+IMAGING+CORP.+E-520,7,2008,dslr,cmos,224.9,10,OLYMPUS
SONY+DSLR-A200,7,2008,dslr,ccd,372.88,10,SONY
Canon+PowerShot+SD700+IS,7,2006,c,ccd,24.745152,6,CANON
Canon+EOS+Kiss+Digital+N,7,2005,dslr,cmos,328.56,8,CANON
Canon+PowerShot+SX110+IS,7,2008,c,ccd,28.0735,9,CANON
Canon+EOS+Kiss+X3,7,2009,dslr,cmos,332.27,15,CANON
Canon+EOS+5D,7,2005,dslr,cmos,864,13,CANON
FUJIFILM+FinePix+S602+ZOOM,7,2002,c,ccd,41.5152,3,FUJIFILM
NIKON+E4500,6,2002,c,ccd,38.277552,4,NIKON
NIKON+CORPORATION+NIKON+D800E,6,2012,dslr,cmos,861.6,36,NIKON
SONY+SLT-A57,6,2012,dslr,cmos,366.6,16,SONY
Canon+PowerShot+A510,6,2005,c,ccd,24.745152,3,CANON
EASTMAN+KODAK+COMPANY+KODAK+C875+ZOOM+DIGITAL+CAMERA,6,2006,c,ccd,38.277552,8,KODAK
SONY+DSC-H1,6,2005,c,ccd,27.944112,5,SONY
SONY+DSC-W40,6,2006,c,ccd,24.7104,6,SONY
SONY+DSC-HX100V,6,2011,b,bsi-cmos,28.0735,16,SONY
SONY+DSC-H5,6,2006,c,ccd,24.745152,7,SONY
Canon+EOS+REBEL+T3,6,2011,dslr,cmos,328.56,12,CANON
Panasonic+DMC-FZ18,6,2007,c,ccd,24.745152,8,PANASONIC
Canon+PowerShot+SX40+HS,5,2011,b,bsi-cmos,28.0735,12,CANON
Panasonic+DMC-G10,5,2010,mrls,cmos,224.9,12,PANASONIC
Panasonic+DMC-FZ50,5,2006,c,ccd,38.277552,10,PANASONIC
Canon+PowerShot+SX10+IS,5,2008,b,ccd,28.0735,10,CANON
Canon+PowerShot+A530,5,2006,c,ccd,24.745152,5,CANON
Panasonic+DMC-FZ8,5,2007,c,ccd,24.745152,7,PANASONIC
OLYMPUS+IMAGING+CORP.+XZ-1,5,2011,c,ccd,44.8692,10,OLYMPUS
OLYMPUS+OPTICAL+CO.%2CLTD+C960Z%2CD460Z,5,2000,c,ccd,,1,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-500,5,2005,dslr,ccd,224.9,8,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-420,5,2008,dslr,cmos,224.9,10,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-510,5,2007,dslr,cmos,224.9,10,OLYMPUS
NIKON+CORPORATION+NIKON+D7100,4,2013,dslr,cmos,366.6,24,NIKON
Panasonic+DMC-FZ45,4,2010,b,ccd,27.7248,14,PANASONIC
NORITSU+KOKI+QSS-29,4,,,,,,NORITSU
Panasonic+DMC-FZ150,4,2011,b,cmos,28.0735,12,PANASONIC
Canon+PowerShot+SD1100+IS,4,2008,c,ccd,24.745152,8,CANON
Canon+PowerShot+S95,4,2010,c,ccd,41.5152,10,CANON
E995,4,2001,c,ccd,38.16,3,NIKON
Canon+EOS+REBEL+T4i,4,2012,dslr,cmos,332.27,18,CANON
Canon+EOS-1D+Mark+III,4,2007,dslr,cmos,536.69,10,CANON
SONY+DSLR-A100,4,2006,dslr,ccd,372.88,10,SONY
EASTMAN+KODAK+COMPANY+KODAK+CX7525+ZOOM+DIGITAL+CAMERA,3,2004,c,ccd,24.7104,5,KODAK
NIKON+E990,3,2000,c,ccd,38.277552,3,NIKON
Canon+EOS+650D,3,2012,dslr,cmos,332.27,18,CANON
