user_nid,lat,lon
9157091@N04,46.936491,6.719169
9157091@N04,46.936491,6.719169
9157091@N04,46.936491,6.719169
9157091@N04,46.936491,6.719169
9157091@N04,46.936491,6.719169
9157091@N04,46.02623,7.476282
9157091@N04,46.392647,8.02946
9157091@N04,46.966079,6.575531
9157091@N04,46.966079,6.575531
9157091@N04,46.936491,6.719169
9157091@N04,47.054598,6.856884
9157091@N04,47.054598,6.856884
9157091@N04,47.108829,6.845383
9157091@N04,46.02623,7.476282
9157091@N04,46.02623,7.476282
9157091@N04,47.054598,6.856884
9157091@N04,47.059218,6.856155
9157091@N04,47.059218,6.856155
9157091@N04,47.054598,6.856884
9157091@N04,47.054598,6.856884
9157091@N04,47.059218,6.856155
9157091@N04,46.966079,6.575531
9157091@N04,47.104601,6.80088
9157091@N04,46.966079,6.575531
9157091@N04,47.104601,6.80088
9157091@N04,47.104601,6.80088
9157091@N04,47.010986,6.629862
9157091@N04,46.966079,6.575531
9157091@N04,46.966079,6.575531
9157091@N04,47.109373,6.849433
9157091@N04,47.055972,6.850522
9157091@N04,47.055972,6.850522
9157091@N04,47.055972,6.850522
9157091@N04,47.055972,6.850522
9157091@N04,47.055972,6.850522
9157091@N04,47.055972,6.850522
9157091@N04,47.111757,6.854395
9157091@N04,46.966079,6.575531
9157091@N04,46.392647,8.02946
9157091@N04,46.966079,6.575531
9157091@N04,46.996997,6.640033
9157091@N04,46.996997,6.640033
9157091@N04,46.996997,6.640033
9157091@N04,47.065327,6.840534
9157091@N04,47.065327,6.840534
9157091@N04,47.110443,6.851627
9157091@N04,47.110443,6.851627
9157091@N04,46.342661,7.385215
9157091@N04,46.914246,6.521844
9157091@N04,46.914246,6.521844
9157091@N04,47.065327,6.840534
9157091@N04,46.914246,6.521844
9157091@N04,46.996997,6.640033
9157091@N04,46.914246,6.521844
9157091@N04,46.971936,6.586647
9157091@N04,46.971936,6.586647
9157091@N04,46.996997,6.640033
9157091@N04,46.971936,6.586647
9157091@N04,46.914246,6.521844
9157091@N04,46.914246,6.521844
9157091@N04,46.006038,7.779521
9157091@N04,46.006038,7.779521
9157091@N04,46.006038,7.779521
9157091@N04,46.006038,7.779521
9157091@N04,46.006038,7.779521
9157091@N04,46.006038,7.779521
9157091@N04,47.053531,6.852464
9157091@N04,47.053531,6.852464
9157091@N04,47.109852,6.849825
9157091@N04,46.917148,6.523132
9157091@N04,46.968766,6.584951
9157091@N04,46.968766,6.584951
9157091@N04,46.968766,6.584951
9157091@N04,46.968766,6.584951
9157091@N04,46.968766,6.584951
9157091@N04,46.968766,6.584951
9157091@N04,46.968766,6.584951
9157091@N04,46.968766,6.584951
9157091@N04,46.968766,6.584951
9157091@N04,46.968766,6.584951
9157091@N04,46.968766,6.584951
9157091@N04,46.968766,6.584951
9157091@N04,46.968766,6.584951
9157091@N04,46.968766,6.584951
9157091@N04,46.968766,6.584951
9157091@N04,47.109852,6.849825
9157091@N04,47.109852,6.849825
