x,y,phi,radius,distance,phibin,size,year,make,type,emp
-6.96726152881,-0.676215046574,-3.04483962146,7,7.0,5,864.0,2012.0,CANON,dslr,20.0
-10.943569232,-1.11278590268,-3.04025695306,11,11.0,5,864.0,2008.0,CANON,dslr,21.0
-13.9323383007,-1.37475433279,-3.04323741484,14,14.0,5,864.0,2008.0,CANON,dslr,21.0
-25.879450173,-2.50081161718,-3.04525866011,26,26.0,5,864.0,2008.0,CANON,dslr,21.0
-26.8721180442,-2.62474223841,-3.04422620837,27,27.0,5,864.0,2008.0,CANON,dslr,21.0
-28.8626858107,-2.81875287904,-3.04424057677,29,29.0,5,864.0,2012.0,CANON,dslr,20.0
-30.8568767255,-2.97542580965,-3.04546319088,31,31.0,5,864.0,2008.0,CANON,dslr,21.0
-31.8323078716,-3.27172363874,-3.03917232018,32,32.0,5,864.0,2008.0,CANON,dslr,21.0
-32.8173084765,-3.46760210464,-3.03631946226,33,33.0,5,864.0,2008.0,CANON,dslr,21.0
-33.8106161848,-3.583606173,-3.03599633802,34,34.0,5,864.0,2008.0,CANON,dslr,21.0
-34.8221742037,-3.52366055772,-3.0407457876,35,35.0,5,864.0,2008.0,CANON,dslr,21.0
-11.9286760587,-1.30640249822,-3.03250957534,12,12.0,6,864.0,2008.0,CANON,dslr,21.0
-16.8731324197,-2.07301769084,-3.01934618465,17,17.0,6,864.0,2008.0,CANON,dslr,21.0
-17.8782818048,-2.08974632617,-3.02523323819,18,18.0,6,864.0,2008.0,CANON,dslr,21.0
-18.8864373767,-2.07424280506,-3.03220395465,19,19.0,6,864.0,2008.0,CANON,dslr,21.0
-20.862117817,-2.40250706329,-3.02693650819,21,21.0,6,864.0,2008.0,CANON,dslr,21.0
-23.8598446565,-2.5899445882,-3.03346773751,24,24.0,6,864.0,2008.0,CANON,dslr,21.0
-24.8318016318,-2.89510409456,-3.02552808125,25,25.0,6,864.0,2008.0,CANON,dslr,21.0
-27.81861273,-3.18194685326,-3.02770566377,28,28.0,6,864.0,2008.0,CANON,dslr,21.0
-29.8285970066,-3.20231176177,-3.03464517142,30,30.0,6,864.0,2012.0,CANON,dslr,20.0
-12.89066425,-1.68249077066,-3.01180622845,13,13.0,7,864.0,2012.0,CANON,dslr,20.0
