model,count,year,type,stype,size,emp,make
NIKON+CORPORATION+NIKON+D800,45,2012.0,dslr,cmos,861.6,36.0,NIKON
NIKON+CORPORATION+NIKON+D800E,6,2012.0,dslr,cmos,861.6,36.0,NIKON
OLYMPUS+IMAGING+CORP.+E-500,5,2005.0,dslr,ccd,224.9,8.0,OLYMPUS
OLYMPUS+IMAGING+CORP.+Olympus+E-500,2,2005.0,dslr,ccd,224.9,8.0,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-510,5,2007.0,dslr,cmos,224.9,10.0,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-410,2,2007.0,dslr,cmos,224.9,10.0,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-520,7,2008.0,dslr,cmos,224.9,10.0,OLYMPUS
OLYMPUS+IMAGING+CORP.+E-420,5,2008.0,dslr,cmos,224.9,10.0,OLYMPUS
Panasonic+DMC-FZ20,1,2004.0,c,ccd,24.745152,5.0,PANASONIC
DMC-FZ20,1,2004.0,c,ccd,24.745152,5.0,PANASONIC
DMC-FZ30,2,2005.0,c,ccd,38.277552,8.0,PANASONIC
Panasonic+DMC-FZ30,1,2005.0,c,ccd,38.277552,8.0,PANASONIC
Panasonic+DMC-FZ7,7,2006.0,c,ccd,24.745152,6.0,PANASONIC
Panasonic+DMC-LZ5,3,2006.0,c,ccd,24.745152,6.0,PANASONIC
Panasonic+DMC-FZ45,4,2010.0,b,ccd,27.7248,14.0,PANASONIC
Panasonic+DMC-FZ40,2,2010.0,b,ccd,27.7248,14.0,PANASONIC
Panasonic+DMC-G10,5,2010.0,mrls,cmos,224.9,12.0,PANASONIC
Panasonic+DMC-G2,2,2010.0,mrls,cmos,224.9,12.0,PANASONIC
SBIG+ST-L-4K+3+CCD+Camera,12,2003.0,astro,ccd,225.0,4.0,SBIG
SBIG+STL-4020M,2,2003.0,astro,ccd,225.0,4.0,SBIG
SBIG+ST-L-11K+3+CCD+Camera+w%2F+AO,1,2003.0,astro,ccd,889.2,11.0,SBIG
SBIG+ST-L-11K+3+CCD+Camera,1,2003.0,astro,ccd,889.2,11.0,SBIG
SONY+DSC-H1,6,2005.0,c,ccd,27.944112,5.0,SONY
SONY+DSC-T7,1,2005.0,c,ccd,27.944112,5.0,SONY
SONY+DSC-W230,3,2009.0,c,ccd,28.0735,12.0,SONY
SONY+DSC-T90,1,2009.0,c,ccd,28.0735,12.0,SONY
SONY+DSLR-A390,37,2010.0,dslr,ccd,368.95,14.0,SONY
DSLR-A390,15,2010.0,dslr,ccd,368.95,14.0,SONY
