x,y,distance,count,size,year,make
2.04422136275,4.56302082179,5.0,1.0,366.6,2007.0,SONY
4.90349840988,-0.977600810293,5.0,78.0,367.35,2006.0,NIKON
2.29296216122,-4.44323356658,5.0,155.0,368.16,2011.0,NIKON
-5.93727783701,0.865292948193,6.0,6.0,328.56,2011.0,CANON
4.2947522366,-4.18988105156,6.0,29.0,332.27,2008.0,CANON
5.31196510432,2.78980765115,6.0,7.0,332.27,2009.0,CANON
-4.65304086858,3.78803519985,6.0,37.0,328.56,2008.0,CANON
-5.25464439023,2.89632738692,6.0,2.0,328.56,2006.0,CANON
-5.86272870513,-1.27609252408,6.0,27.0,328.56,2008.0,CANON
1.53783791257,-5.79957365284,6.0,1.0,224.9,2010.0,OLYMPUS
-4.37834545063,-4.10244940431,6.0,1.0,328.56,2005.0,CANON
-3.57546301128,-4.81830512265,6.0,2.0,285.66,2002.0,SIGMA
-2.65766224884,-5.37929654984,6.0,2.0,225.0,2003.0,SBIG
-1.654442035,-5.76739295981,6.0,12.0,225.0,2003.0,SBIG
-3.90188478489,4.55799244465,6.0,76.0,328.56,2008.0,CANON
-5.54065712433,-2.30241582487,6.0,32.0,328.56,2005.0,CANON
-3.02531891372,5.18145206195,6.0,66.0,328.56,2006.0,CANON
3.99297878965,4.47840600945,6.0,165.0,332.27,2009.0,CANON
2.54867808725,-5.43178055591,6.0,24.0,337.5,2006.0,CANON
1.13079661867,5.89247817197,6.0,18.0,332.27,2011.0,CANON
3.12915970708,5.11941007613,6.0,8.0,332.27,2013.0,CANON
3.47760165115,-4.88940556263,6.0,8.0,332.27,2011.0,CANON
4.72846024847,3.69346228878,6.0,88.0,332.27,2010.0,CANON
4.97386595144,-3.35569031604,6.0,4.0,332.27,2012.0,CANON
5.83581184009,-1.39402301525,6.0,93.0,332.27,2010.0,CANON
0.477570362041,-5.98096368065,6.0,2.0,224.9,2011.0,PANASONIC
-0.598046692871,-5.97012061462,6.0,14.0,224.9,2012.0,OLYMPUS
5.49311552208,-2.41364493269,6.0,16.0,332.27,2009.0,CANON
-5.04050426468,-3.25473758661,6.0,11.0,328.56,2011.0,CANON
0.0604816467434,5.99969515646,6.0,65.0,328.56,2007.0,CANON
5.95351513494,0.74542440133,6.0,3.0,332.27,2012.0,CANON
-5.99636736148,-0.2087545596,6.0,7.0,328.56,2005.0,CANON
5.72473903102,1.79648630016,6.0,93.0,332.27,2009.0,CANON
-5.68735931764,1.91152922867,6.0,34.0,328.56,2008.0,CANON
-1.01177725508,5.91407700204,6.0,49.0,328.56,2006.0,CANON
2.16476685686,5.5958720907,6.0,77.0,332.27,2010.0,CANON
-2.05151680343,5.63837554667,6.0,38.0,328.56,2005.0,CANON
5.99094036384,-0.329596051099,6.0,14.0,332.27,2010.0,CANON
6.41360954082,2.80456995953,7.0,5.0,224.9,2007.0,OLYMPUS
-5.84028908397,3.85888888356,7.0,2.0,41.5152,2011.0,NIKON
1.65763858386,6.80089952325,7.0,2.0,58.08,2002.0,NIKON
-1.13217096557,-6.90783532698,7.0,1.0,38.277552,2001.0,CANON
-0.0644262834757,-6.99970351186,7.0,2.0,224.9,2007.0,OLYMPUS
-4.90024243948,-4.99876225023,7.0,1.0,41.5152,2000.0,FUJIFILM
-1.53217542906,6.83025903276,7.0,1.0,48.0,2005.0,FUJIFILM
-4.40380427735,5.44118625731,7.0,1.0,43.32,2008.0,BENQ
-5.18278674495,4.70518028947,7.0,1.0,41.5152,2001.0,FUJIFILM
-0.471584829959,6.98409677397,7.0,1.0,48.0,2006.0,FUJIFILM
-4.07975619523,-5.68819737592,7.0,1.0,40.6272,2007.0,RICOH
-6.36089999686,2.92214839287,7.0,1.0,41.5152,2012.0,NIKON
-6.94613146951,0.866751180154,7.0,34.0,41.5152,2010.0,NIKON
-6.99703469957,-0.203728773276,7.0,7.0,41.5152,2002.0,FUJIFILM
-6.88393336668,-1.26943349693,7.0,46.0,41.5152,2011.0,CANON
-6.60947847023,-2.30538377534,7.0,3.0,41.5152,2012.0,LEICA
-2.17337851981,-6.65405333685,7.0,2.0,38.277552,2005.0,CANON
-5.60587115419,-4.19216037415,7.0,1.0,41.5152,2006.0,FUJIFILM
-6.73241680507,1.91691522055,7.0,11.0,41.5152,2007.0,CANON
-6.18010300037,-3.28729781201,7.0,4.0,41.5152,2010.0,CANON
-2.55685313472,6.51632580888,7.0,3.0,44.8692,2008.0,PANASONIC
1.00482849609,-6.9275045791,7.0,21.0,224.9,2009.0,PANASONIC
5.26851566927,4.6089849905,7.0,5.0,224.9,2005.0,OLYMPUS
5.9103291581,3.7507344938,7.0,5.0,224.9,2008.0,OLYMPUS
3.04817069119,-6.30148041633,7.0,1.0,224.9,2011.0,OLYMPUS
3.97436389751,-5.76232866211,7.0,2.0,224.9,2005.0,OLYMPUS
5.52775745384,-4.2946359021,7.0,1.0,224.9,2007.0,OLYMPUS
6.56592412777,-2.42665208639,7.0,1.0,224.9,2004.0,OLYMPUS
6.11854757547,-3.40049637064,7.0,7.0,224.9,2008.0,OLYMPUS
2.6763642064,6.4681585196,7.0,1.0,116.16,2011.0,NIKON
0.600059317861,6.97423320624,7.0,1.0,58.08,2004.0,NIKON
-3.16364392361,-6.24430597621,7.0,13.0,38.277552,2004.0,SAMSUNG
2.05053094737,-6.69293081048,7.0,3.0,224.9,2010.0,OLYMPUS
4.8074013826,-5.08811280797,7.0,2.0,224.9,2010.0,PANASONIC
6.99209929401,-0.332486785772,7.0,1.0,224.9,2012.0,PANASONIC
6.96090872326,0.738748770874,7.0,2.0,224.9,2009.0,OLYMPUS
6.76656035183,1.79266868246,7.0,1.0,224.9,2010.0,PANASONIC
-3.52160036999,6.04965543102,7.0,5.0,44.8692,2011.0,OLYMPUS
4.50321263855,5.35920478542,7.0,3.0,116.16,2012.0,SONY
3.63235812032,5.98380936242,7.0,1.0,116.16,2013.0,SONY
6.85940098354,-1.39592913396,7.0,5.0,224.9,2010.0,PANASONIC
7.99467475571,0.291848506039,8.0,6.0,38.277552,2006.0,KODAK
0.509849710107,7.98373679884,8.0,1.0,38.16,2007.0,NIKON
4.50732063852,6.60939185263,8.0,2.0,38.277552,2008.0,CASIO
-6.756312944,4.28395091041,8.0,2.0,28.4592,2011.0,GE
6.72989992969,4.32532622312,8.0,1.0,38.277552,2005.0,SONY
-7.99631500698,0.242788609968,8.0,3.0,28.0735,2009.0,SONY
7.9622417743,-0.776341373105,8.0,1.0,38.277552,2005.0,NIKON
